NUMERO,GRUPO,DESCRIPCION,clase,tipo,aplazar,conciliar,sector
45111,4005001001001,Vtas de Cilindros y Garrafas-Asoc-,ingresos,"seccion gas licuado ingresos",x,,Gas
45112,4005001001002,Vtas Gas a Granel-Asoc-,ingresos,"seccion gas licuado ingresos",x,,Gas
45113,4005001001003,Vtas de Cil. y Garr.-No Asoc-,ingresos,"seccion gas licuado ingresos",x,,Gas
45114,4005001001004,Vtas Gas a Granel-No Asoc-,ingresos,"seccion gas licuado ingresos",x,,Gas
45115,4005001001005,Subsidios L.26.020,ingresos,"seccion gas licuado ingresos",x,,Gas
45117,4005001001007,Logistica y servicios Gas-No Asoc-,ingresos,"seccion gas licuado ingresos",x,,Gas
45118,4005001001008,Vtas p/transf.de bs. a ot.sec.-GL-,ingresos,"seccion gas licuado ingresos",x,,Gas
4512,4005001002,Costos,vista,,,,
45121,4005001002001,Costo de Vtas Gas,gastos,"seccion gas licuado egresos",x,,Gas
4513,4005001003,Gastos de Explot.-Directos-,vista,,,,
45131,4005001003001,Remuneraciones,vista,,,,
451311,4005001003001000,Sueldos-GAS-,gastos,"seccion gas licuado egresos",x,,Gas
451312,4005001003001000,Aportes Seg.Social-GAS-,gastos,"seccion gas licuado egresos",x,,Gas
451313,4005001003001000,Bonif. Personal a Jub.GL-,gastos,"seccion gas licuado egresos",x,,Gas
451314,4005001003001000,Tickets Canasta-GAS-,gastos,"seccion gas licuado egresos",x,,Gas
451315,4005001003001010,Gtos p/Medicamentos-GAS-,gastos,"seccion gas licuado egresos",x,,Gas
451316,4005001003001010,Ropa de Trabajo-GAS-,gastos,"seccion gas licuado egresos",x,,Gas
451317,4005001003001010,Despidos Gas,gastos,"seccion gas licuado egresos",x,,Gas
45133,4005001003003,Mantenimiento,vista,,,,
451331,4005001003003000,Combustibles y Lub.-GAS-,gastos,"seccion gas licuado egresos",x,,Gas
451332,4005001003003000,Mant.de Redes e Instalac.-GAS-,gastos,"seccion gas licuado egresos",x,,Gas
45134,4005001003004,Serv.de Terceros,vista,,,,
451341,4005001003004000,Manten.y Rep.Rodados-GAS-,gastos,"seccion gas licuado egresos",x,,Gas
451343,4005001003004000,Honorarios y Gtos.Legales-GAS-,gastos,"seccion gas licuado egresos",x,,Gas
451344,4005001003004000,Cuotas C??maras Empresarias-GAS,gastos,"seccion gas licuado egresos",x,,Gas
451346,4005001003004010,Seguros-Gas-,gastos,"seccion gas licuado egresos",x,,Gas
451347,4005001003004010,Matafuegos-GAS-,gastos,"seccion gas licuado egresos",x,,Gas
451349,4005001003004010,Fletes-GAS-,gastos,"seccion gas licuado egresos",x,,Gas
4513410,4005001003004010,Reparaci??n Envases-GAS,gastos,"seccion gas licuado egresos",x,,Gas
45136,4005001003006,Varios,vista,,,,
451362,4005001003006000,Donaciones Programa solidario-GAS-,gastos,"seccion gas licuado egresos",x,,Gas
451363,4005001003006000,Movil. Y Vi??t.GAS,gastos,"seccion gas licuado egresos",x,,Gas
451365,4005001003006010,Depreciaciones-GAS-,gastos,"seccion gas licuado egresos",x,,Gas
451369,4005001003006010,Gtos.Diversos -GAS-,gastos,"seccion gas licuado egresos",x,,Gas
45137,4005001003007,Impuestos,vista,,,,
451371,4005001003007000,"Impuestos,Tasas y Contrib-GL",gastos,"seccion gas licuado egresos",x,,Gas
451372,4005001003007000,Resoluci??n 271/01 Sec.de Energ??a,gastos,"seccion gas licuado egresos",x,,Gas
451373,4005001003007000,D??bitos y Cr??d. Brios.L.25413-GAS-,gastos,"seccion gas licuado egresos",x,,Gas
45138,4005001003008,Insumos,vista,,,,
451381,4005001003008000,Gtos Energ.El???ctrica-GAS-,gastos,"seccion gas licuado egresos",x,,Gas
451382,4005001003008000,"Baberos,Precintos,Tapones y Pintura-GA",gastos,"seccion gas licuado egresos",x,,Gas
4514,4005001004,Gtos. de Comercializaci??n-Directos-,vista,,,,
45141,4005001004001,Remuneraciones,vista,,,,
451411,4005001004001000,Sueldos-GAS- ( c),gastos,"seccion gas licuado egresos",x,,Gas
451412,4005001004001000,Aportes Seg.Social-GAS- (c ),gastos,"seccion gas licuado egresos",x,,Gas
451413,4005001004001000,Bonif. Personal a Jub.GL-( c),gastos,"seccion gas licuado egresos",x,,Gas
451415,4005001004001010,Gtos p/Medicamentos-GAS- (c),gastos,"seccion gas licuado egresos",x,,Gas
451417,4005001004001010,Despidos-GAS- (c ),gastos,"seccion gas licuado egresos",x,,Gas
45143,4005001004003,Mantenimiento,vista,,,,
451431,4005001004003000,Combustibles y Lub.-GAS-,gastos,"seccion gas licuado egresos",x,,Gas
45144,4005001004004,Serv.de Terceros,vista,,,,
451441,4005001004004000,Manten.y Rep.Rodados-GAS-( c),gastos,"seccion gas licuado egresos",x,,Gas
451442,4005001004004000,Publicidad y Propaganda-GAS-( c),gastos,"seccion gas licuado egresos",x,,Gas
451445,4005001004004010,Franqueo y Tel???fono-GAS- ( c),gastos,"seccion gas licuado egresos",x,,Gas
451446,4005001004004010,Seguros-Gas-( c),gastos,"seccion gas licuado egresos",x,,Gas
451447,4005001004004010,Comisiones-GAS-( c),gastos,"seccion gas licuado egresos",x,,Gas
451448,4005001004004010,Canje Envases-GAS-( c),gastos,"seccion gas licuado egresos",x,,Gas
451449,4005001004004010,Serv.de Comp.e Imprenta-GAS-( c),gastos,"seccion gas licuado egresos",x,,Gas
45146,4005001004006,Varios,vista,,,,
451463,4005001004006000,Movilidad y Via??ticos-GAS-(c),gastos,"seccion gas licuado egresos",x,,Gas
451464,4005001004006000,Incobrables-GAS-(c),gastos,"seccion gas licuado egresos",x,,Gas
451465,4005001004006010,Depreciaciones-GAS- ( c),gastos,"seccion gas licuado egresos",x,,Gas
451466,4005001004006010,Amortizaci??n Numerales-GAS-(c),gastos,"seccion gas licuado egresos",x,,Gas
451468,4005001004006010,Gtos Gles Gas a Granel ( c),gastos,"seccion gas licuado egresos",x,,Gas
451469,4005001004006010,Gtos.Diversos -GAS- ( c),gastos,"seccion gas licuado egresos",x,,Gas
45147,4005001004007,Impuestos,vista,,,,
451471,4005001004007000,"Impuestos,Tasas y Contrib-GL- ( c)",gastos,"seccion gas licuado egresos",x,,Gas
451473,4005001004007000,D??bitos y Cr??d. Brios.L.25413-GL-( c),gastos,"seccion gas licuado egresos",x,,Gas
4517,4005001007,Gtos. de Comercializaci??n-Indirectos-,vista,,,,
45171,4005001007001,Gtos Indirec.de Com.-GAS-,gastos,"seccion gas licuado egresos",x,,Gas
4518,4005001008,Gtos.de Administracion-Indirectos-,vista,,,,
45181,4005001008001,Gtos Indirec.de Adm.-GAS-,gastos,"seccion gas licuado egresos",x,,Gas
452,4005002,RESULTADOS ORD.NO OPERATIVOS-GL,vista,,,,
4521,4005002001,Der.de Conex.Gas a Granel,ingresos,"seccion gas licuado ingresos",x,,Gas
4522,4005002002,Gtos Recuperados-GAS-,ingresos,"seccion gas licuado ingresos",x,,Gas
4523,4005002003,Fletes Facturados -GL-,gastos,"seccion gas licuado egresos",x,,Gas
4524,4005002004,Vta de Envases-GAS-,ingresos,"seccion gas licuado ingresos",x,,Gas
4525,4005002005,Recuperos-GAS-,ingresos,"seccion gas licuado ingresos",x,,Gas
4526,4005002006,Vtas.de Bs.de Uso -GAS-,ingresos,"seccion gas licuado ingresos",x,,Gas
4527,4005002007,Ventas de Marcas de Fabrica -GL-,ingresos,"seccion gas licuado ingresos",x,,Gas
4528,4005002008,Descuentos Obtenidos-GL-,ingresos,"seccion gas licuado ingresos",x,,Gas
4529,4005002009,Costo de Vta Bs.de Uso-GAS-,gastos,"seccion gas licuado egresos",x,,Gas
45210,4005002010,Costo de Vta Envases-Gas-,gastos,"seccion gas licuado egresos",x,,Gas
45211,4005002011,Envases Irrecuperables-GAS-,gastos,"seccion gas licuado egresos",x,,Gas
45212,4005002012,Costo de Vta Marcas de Fab-GAS-,gastos,"seccion gas licuado egresos",x,,Gas
453,4005003,RESULTADOS FINANCIEROS-GAS-,vista,,,,
4531,4005003001,Intereses Morat.Cobrados-GAS-,ingresos,"seccion gas licuado ingresos",x,,Gas
4532,4005003002,Int.p/Financiaci??n GAS,gastos,"seccion gas licuado egresos",x,,Gas
4534,4005003004,Intereses Ganados-GAS-,ingresos,"seccion gas licuado ingresos",x,,Gas
4535,4005003005,"Com.,Int.y Gtos Brios-GAS-",gastos,"seccion gas licuado egresos",x,,Gas
4536,4005003006,Result.Fin.y p/Ten.(Inclu??do RECPAM),ingresos,"seccion gas licuado ingresos",x,,Gas
454,4005004,RESULTADOS EXTRAORDINARIOS-GL-,vista,,,,
4541,4005004101,Siniestros B.de Uso-GL-,gastos,"seccion gas licuado egresos",x,,Gas
4542,4005004301,Indemnizaci??n p/Da??os y Perjuicios-GL,gastos,"seccion gas licuado egresos",x,,Gas
46,4006,SECC. C.C.T.V.,vista,,,,
461,4006001,RESULTADOS ORD.OPERATIVOS-CCTV,vista,,,,
4611,4006001001,Ingreso operativo seccional,vista,,,,
46111,4006001001001,Ingresos por Abonos-CCTV-,ingresos,"seccion cctv ingresos",x,,CCTV
46112,4006001001002,Ingresos por Publicidad-CCTV-,ingresos,"seccion cctv ingresos",x,,CCTV
46113,4006001001003,Venta Accesorios p/Conexi??n,ingresos,"seccion cctv ingresos",x,,CCTV
46114,4006001001004,Vtas p/trasnf.de serv. a ot.sec-CCTV-,ingresos,"seccion cctv ingresos",x,,CCTV
4612,4006001002,Costos,vista,,,,
46121,4002001002001,Costos de Programaci??n,gastos,"seccion cctv egresos",x,,CCTV
4613,4006001003,Gastos de Explotaci??n-Directos-,vista,,,,
46131,4006001003001,Remuneraciones,vista,,,,
461311,4006001003001000,Sueldos-CCTV-,gastos,"seccion cctv egresos",x,,CCTV
461312,4006001003001000,Aportes Seg.Social-CCTV-,gastos,"seccion cctv egresos",x,,CCTV
461314,4006001003001000,Tickets Canasta-CCTV-,gastos,"seccion cctv egresos",x,,CCTV
461316,4006001003001010,Ropa de Trabajo-CCTV-,gastos,"seccion cctv egresos",x,,CCTV
461317,4006001003001010,Despidos-CCTV-,gastos,"seccion cctv egresos",x,,CCTV
46133,4006001003003,Mantenimiento,vista,,,,
461331,4006001003003000,Combustibles y Lub.-CCTV-,gastos,"seccion cctv egresos",x,,CCTV
461332,4006001003003000,Mantenim.de Redes e Inst.CCTV-,gastos,"seccion cctv egresos",x,,CCTV
46134,4006001003004,Serv.de Terceros,vista,,,,
461341,4006001003004000,Mantenim.y Rep.Rodados-CCTV-,gastos,"seccion cctv egresos",x,,CCTV
461342,4006001003004000,Publicidad y Propaganda-CCTV-,gastos,"seccion cctv egresos",x,,CCTV
461344,4006001003004000,Cuotas C??maras Emp.-CCTV-,gastos,"seccion cctv egresos",x,,CCTV
461345,4006001003004010,Franqueo y Tel??fono-CCTV-,gastos,"seccion cctv egresos",x,,CCTV
461346,4006001003004010,Seguros-CCTV-,gastos,"seccion cctv egresos",x,,CCTV
461348,4006001003004010,Comisiones-CCTV-,gastos,"seccion cctv egresos",x,,CCTV
461349,4006001003004010,Fletes -CCTV-,gastos,"seccion cctv egresos",x,,CCTV
4613410,4006001003004010,Reparaciones Equipos-CCTV-,gastos,"seccion cctv egresos",x,,CCTV
46136,4006001003006,Varios,vista,,,,
461364,4006001003006000,Incobrables-AH-(c),gastos,"seccion cctv egresos",x,,CCTV
461365,4006001003006010,Depreciaciones-CCTV-,gastos,"seccion cctv egresos",x,,CCTV
461369,4006001003006010,Gtos.Diversos CCTV,gastos,"seccion cctv egresos",x,,CCTV
46137,4006001003007,Impuestos,vista,,,,
461371,4006001003007000,"Imp.,Tasas y Cont.-CCTV-",gastos,"seccion cctv egresos",x,,CCTV
461373,4006001003007000,D??bitos y Cr??d. Brios.L.25413-CCTV-,gastos,"seccion cctv egresos",x,,CCTV
46138,4006001003008,Insumos,gastos,"seccion cctv egresos",x,,CCTV
461381,4006001003008000,Gastos EE-CCTV-,gastos,"seccion cctv egresos",x,,CCTV
4614,4006001004,Gtos.de Comercializaci??n-Directos-,vista,,,,
46144,4006001004004,Serv. de Terceros,vista,,,,
461442,4006001004004000,Publicidad y Prop.-CCTV-??,gastos,"seccion cctv egresos",x,,CCTV
4617,4006001007,Gtos.de Comercializaci??n-Indirectos-,vista,,,,
46171,4006001007001,Gtos Ind.de com-CCTV-,gastos,"seccion cctv egresos",x,,CCTV
4618,4006001008,Gtos.de Administracion-Indirectos,vista,,,,
46181,4006001008001,Gtos Ind.de Adm-CCTV-,gastos,"seccion cctv egresos",x,,CCTV
462,4006002,RESULTADOS ORD.NO OPERATIVOS-C,vista,,,,
4621,4006002001,Result.Invers.otras Sociedades,ingresos,"seccion cctv ingresos",x,,CCTV
4622,4006002002,Derechos de Reconexi??n-CCTV-,ingresos,"seccion cctv ingresos",x,,CCTV
4623,4006002003,Gtos Recuperados -CCTV-,ingresos,"seccion cctv ingresos",x,,CCTV
4624,4006002004,Derechos de Conexi??n-CCTV-,ingresos,"seccion cctv ingresos",x,,CCTV
463,4006003,RESULTADOS FINANCIEROS-CCTV-,vista,,,,
4631,4006003001,Intereses Morat.Cobrados-CCTV-,ingresos,"seccion cctv ingresos",x,,CCTV
4632,4006003002,Intereses Ganados-CCTV-,ingresos,"seccion cctv ingresos",x,,CCTV
4633,4006003003,"Com.,Int.y Gtos.Brios.-CCTV-",gastos,"seccion cctv egresos",x,,CCTV
4634,4006003004,Result.Fin.y p/Ten.(Inclu??do RECPAM),ingresos,"seccion cctv ingresos",x,,CCTV
47,4007,SECC.SERVICIOS INTERNET,vista,,,,
471,4007001,RESULTADOS ORD.OPERATIVOS-INT-,vista,,,,
4711,4007001001,Ingreso operativo seccional,vista,,,,
47111,4007001001001,Ventas Abonos INTERNET-Asoc-,ingresos,"seccion internet ingresos",x,,Internet
47112,4007001001002,Ventas Abonos INTERNET-No Asoc-,ingresos,"seccion internet ingresos",x,,Internet
47113,4007001001003,Vtas p/transf.de serv. a ot.sec.-INT-,ingresos,"seccion internet ingresos",x,,Internet
4712,4007001002,Costos,vista,,,,
47121,4007001002001,Costo de Vta.Serv.INTERNET,gastos,"seccion internet egresos",x,,Internet
4713,4007001003,Gastos de Explotaci??n-Directos,vista,,,,
47131,4007001003001,Remuneraciones,vista,,,,
471311,4007001003001000,Sueldos-INT-,gastos,"seccion internet egresos",x,,Internet
471312,4007001003001000,Aportes Seg.Soc.-INT-,gastos,"seccion internet egresos",x,,Internet
471314,4007001003001000,Ticket Canasta-INT,gastos,"seccion internet egresos",x,,Internet
471315,4007001003001000,Gtos p/Medicamentos-INT,gastos,"seccion internet egresos",x,,Internet
47134,4007001003004,Serv. de Terceros,vista,,,,
471344,4007001003004000,Cuotas C??maras Empresarias-INT-,gastos,"seccion internet egresos",x,,Internet
471346,4007001003004010,Seguros-INT-,gastos,"seccion internet egresos",x,,Internet
47136,4007001003006,Varios,vista,,,,
471364,4007001003006000,Incobrales-Internet,gastos,"seccion internet egresos",x,,Internet
471365,4007001003006010,Depreciaciones -INT-,gastos,"seccion internet egresos",x,,Internet
471369,4007001003006010,Gtos.Diversos INTERNET,gastos,"seccion internet egresos",x,,Internet
47137,4007001003007,Impuestos,vista,,,,
471373,4007001003007000,D??bitos y Cr??d. Brios.L.25413-INT-,gastos,"seccion internet egresos",x,,Internet
47138,4007001003008,Insumos,vista,,,,
471381,4007001003008000,Gtos.Energ.Electr.INTERNET,gastos,"seccion internet egresos",x,,Internet
4714,4007001004,Gtos. de Comercializaci??n-Directos,vista,,,,
47143,4007001004003,Mantenimiento,vista,,,,
471431,4007001004003000,Combustibles y Lub.-INT-,gastos,"seccion internet egresos",x,,Internet
47144,4007001004004,Serv. de Terceros,vista,,,,
471441,4007001004004000,Manten.y Rep.Rodados-INT-( c),gastos,"seccion internet egresos",x,,Internet
471442,4007001004004000,Publicidad INTERNET,gastos,"seccion internet egresos",x,,Internet
471445,4007001004004010,Franqueo y Tel???fonos INTERNET,gastos,"seccion internet egresos",x,,Internet
471446,4007001004004010,Gtos.de Serv.p/Conex.INTERNET,gastos,"seccion internet egresos",x,,Internet
471447,4007001004004010,Serv.de Comp.e Impr.INTERNET,gastos,"seccion internet egresos",x,,Internet
47146,4007001004006,Varios,vista,,,,
471463,4007001004006000,Viaticos y Movilidad INTERNET,gastos,"seccion internet egresos",x,,Internet
471469,4007001004006010,Gtos.Diversos INTERNET,gastos,"seccion internet egresos",x,,Internet
47147,4007001004007,Impuestos,vista,,,,
471471,4007001004007000,"Imp.,Tasas y Contrib.INTERNET",gastos,"seccion internet egresos",x,,Internet
471473,4007001004007000,D??bitos y Cr??d. Brios.L.25413-INT-,gastos,"seccion internet egresos",x,,Internet
4717,4007001007,Gtos.de Comercializaci??n-Indirectos-,vista,,,,
47171,4007001007001,Gtos Ind.de Com-INT-,gastos,"seccion internet egresos",x,,Internet
4718,4007001008,Gtos.de Administracion-Indirectos-,vista,,,,
47181,4007001008001,Gtos Ind.de Adm-INT-,gastos,"seccion internet egresos",x,,Internet
472,4007002,RESULTADOS ORD.NO OPERAT.-INT-,vista,,,,
4721,4007002001,Derechos de Conexi??n-INT-,ingresos,"seccion internet ingresos",x,,Internet
4722,4007002002,Gtos Recuperados Internet,ingresos,"seccion internet ingresos",x,,Internet
4723,4007002003,Prestaci??n del Serv.INT-,ingresos,"seccion internet ingresos",x,,Internet
473,4007003,RESULTADOS FINANCIEROS-INT-,vista,,,,
4731,4007003001,Intereses Morat.Cobr.INT,ingresos,"seccion internet ingresos",x,,Internet
4732,4007003002,"Com.,Int.y Gtos Brios-INT-",gastos,"seccion internet egresos",x,,Internet
4733,4007003003,Result.Fin.y p/Ten.(Inclu??do RECPAM),ingresos,"seccion internet ingresos",x,,Internet
48,4008,RESULTADOS AJENOS A LA EXPLOTACION,vista,,,,
481,4008001,RESULTADOS ORDINARIOS AJENOS,vista,,,,
4811,4008001001,RESULTADOS ORD.NO OPERATIVOS-RA-,vista,,,,
48111,4008001001001,Vtas.Bs.Uso - RA -,ingresos,"resultados ajenos a la explotacion ingresos",x,,Ajenos
48112,4008001001002,Costo de Vta.Bs.de Uso-RA-,gastos,"resultados ajenos a la explotacion egresos",x,,Ajenos
48113,4008001001003,Donaciones y subsidios-RA-,gastos,"resultados ajenos a la explotacion egresos",x,,Ajenos
48114,4008001001004,Depreciaciones Bco.Ortopedico-RA-,gastos,"resultados ajenos a la explotacion egresos",x,,Ajenos
48115,4008001001005,Otros Ingresos-RA-,ingresos,"resultados ajenos a la explotacion ingresos",x,,Ajenos
4812,4008001002,RESULTADOS FINANCIEROS-RA-,vista,,,,
48121,4008001002001,Intereses Ganados-RA-,ingresos,"resultados ajenos a la explotacion ingresos",x,,Ajenos
48122,4008001002002,Diferencias de Cambio-RA-,ingresos,"resultados ajenos a la explotacion ingresos",x,,Ajenos
48123,4008001002003,"Com.,Int.y Gtos Brios-RA-",gastos,"resultados ajenos a la explotacion egresos",x,,Ajenos
48124,4008001002004,Otros Resultados Financieros,ingresos,"resultados ajenos a la explotacion ingresos",x,,Ajenos
48125,4008001002005,Result.Fin.y p/Ten.(Inclu??do RECPAM)-RA-,ingresos,"resultados ajenos a la explotacion ingresos",x,,Ajenos
482,4008002,RESULTADOS EXTRAORDINARIOS AJENOS,vista,,,,
4821,4008002001,DEL EJERCICIO,vista,,,,
48211,4008002001001,Siniestros Bienes de Uso-RA-,gastos,"resultados ajenos a la explotacion egresos",x,,Ajenos
48212,4008002001002,Indemnizaci??n por Da??os y Perjuicios-RA-,gastos,"resultados ajenos a la explotacion egresos",x,,Ajenos
